Time (Hour),Total Power (kW),Critical Power (kW),Remaining Power (kW)
204,1.2912889,0.944,0.3472889
205,1.3433162,0.944,0.3993162
206,1.4068658,0.944,0.4628658
207,1.5046746,0.944,0.5606746
208,1.5839262,0.944,0.6399262
209,1.6165079,0.944,0.6725079
210,1.6028195,0.944,0.6588195
211,1.5977126,0.944,0.6537126
212,1.5671857,0.944,0.6231857
213,1.4809077,0.944,0.5369077
214,1.3635568,0.944,0.4195568
215,1.2494603,0.944,0.3054603
216,1.1811612,0.944,0.2371612
217,1.1264869,0.944,0.1824869
218,1.0987329,0.944,0.1547329
219,1.0816472,0.944,0.1376472
220,1.0843058,0.944,0.1403058
221,1.1092719,0.944,0.1652719
222,1.147068,0.944,0.203068
223,1.1763769,0.944,0.2323769
224,1.1577988,0.944,0.2137988
225,1.1726978,0.944,0.2286978
226,1.1986721,0.944,0.2546721
227,1.2403488,0.944,0.2963488
228,1.2912889,0.944,0.3472889
229,1.3433162,0.944,0.3993162
230,1.4068658,0.944,0.4628658
231,1.5046746,0.944,0.5606746
232,1.5839262,0.944,0.6399262
233,1.6165079,0.944,0.6725079
234,1.6028195,0.944,0.6588195
235,1.5977126,0.944,0.6537126
236,1.5671857,0.944,0.6231857
237,1.4809077,0.944,0.5369077
238,1.3635568,0.944,0.4195568
239,1.2494603,0.944,0.3054603
